vo_pair
pay tax / absorb tax
pay interest / absorb interest
misuse medication / abuse medication
address topic / attack topic
improve situation / boost situation
improve education / boost education
end contract / break contract
end marriage / break marriage
instill confidence / breathe confidence
instill spirit / breathe spirit
instill love / breathe love
get chance / catch chance
get information / catch information
get opportunity / catch opportunity
end investigation / close investigation
end season / close season
end story / close story
finalize plan / close plan
affect choice / color choice
affect choice / colour choice
read book / devour book
read story / devour story
read page / devour page
read news / devour news
comprehend meaning / digest meaning
comprehend material / digest material
comprehend text / digest text
reject past / disown past
reject idea / disown idea
reject policy / disown policy
reject responsibility / disown responsibility
reduce rate / drop rate
forget problem / drown problem
suggest idea / float idea
suggest concept / float concept
saturate market / flood market
stimulate discussion / fuel discussion
stimulate activity / fuel activity
manage project / juggle project
manage life / juggle life
manage career / juggle career
cancel bill / kill bill
cancel agreement / kill agreement
organise protest / mount protest
organize production / mount production
organize event / mount event
recall memory / recapture memory
recall experience / recapture experience
determine success / shape success
ruin career / shipwreck career
cause uncertainty / sow uncertainty
attract worker / suck worker
address challenge / tackle challenge
address point / tackle point
experience pain / taste pain
