met	lit	met_count	lit_count
absorb knowledge	assimilate knowledge	354	190
absorb information	assimilate information	1154	511
absorb idea	assimilate idea	369	141
absorb culture	assimilate culture	308	127
absorb material	assimilate material	382	85
absorb lesson	assimilate lesson	366	50
absorb fact	assimilate fact	166	57
absorb content	assimilate content	177	50
absorb experience	assimilate experience	109	91
absorb concept	assimilate concept	89	65
absorb thought	assimilate thought	86	28
absorb cost	pay cost	1226	16540
absorb fee	pay fee	45	43490
absorb bill	pay bill	10	30364
absorb tax	pay tax	20	30911
absorb debt	pay debt	61	21344
absorb interest	pay interest	178	9713
absorb expense	pay expense	40	5774
abuse alcohol	misuse alcohol	525	208
abuse drug	misuse drug	947	335
abuse substance	misuse substance	175	97
abuse medication	misuse medication	70	23
abuse product	misuse product	39	58
attack problem	address problem	1707	35477
attack issue	address issue	239	79175
attack need	address need	20	20487
attack question	address question	114	21778
attack challenge	address challenge	83	11541
attack point	address point	232	4098
attack situation	address situation	45	3465
attack topic	address topic	22	4066
attack change	address change	54	3579
attack cause	address cause	155	3094
attack matter	address matter	49	3451
boost economy	improve economy	4687	2755
boost service	improve service	177	16003
boost system	improve system	1829	6837
boost situation	improve situation	16	6316
boost process	improve process	98	5235
boost education	improve education	87	3837
boost work	improve work	80	3424
boost business	improve business	871	1910
boost result	improve result	211	2630
boost number	improve number	1749	710
break agreement	end agreement	1225	329
break cycle	end cycle	4193	647
break relationship	end relationship	1318	2321
break contract	end contract	1571	590
break marriage	end marriage	694	1094
break process	end process	945	523
break pattern	end pattern	1060	50
breathe life	instill life	6227	30
breathe sense	instill sense	25	1074
breathe confidence	instill confidence	30	1144
breathe value	instill value	26	659
breathe spirit	instill spirit	391	128
breathe love	instill love	66	308
breathe hope	instill hope	47	133
breathe idea	instill idea	16	134
breathe passion	instill passion	16	96
buy story	believe story	724	1823
buy word	believe word	125	2997
buy lie	believe lie	260	1805
cast doubt	cause doubt	8494	257
cast issue	cause issue	98	6530
cast fear	cause fear	282	1365
catch disease	get disease	1201	2662
catch idea	get idea	201	52090
catch chance	get chance	67	55978
catch information	get information	72	36240
catch result	get result	47	36573
catch message	get message	134	27705
catch point	get point	147	23962
catch call	get call	43	20692
catch problem	get problem	594	14694
catch opportunity	get opportunity	54	13177
close investigation	end investigation	504	124
close season	end season	1037	2805
close deal	end deal	2744	168
close case	end case	3047	240
close debate	end debate	601	762
close operation	end operation	643	309
close story	end story	122	903
close deal	finalise deal	2744	424
close case	finalise case	3047	66
close plan	finalise plan	98	825
close arrangement	finalise arrangement	27	367
close agreement	finalise agreement	65	293
close project	finalise project	381	64
close deal	finalize deal	2744	468
close case	finalize case	3047	24
close plan	finalize plan	98	867
close arrangement	finalize arrangement	27	156
close agreement	finalize agreement	65	438
close project	finalize project	381	86
cloud memory	impair memory	77	297
cloud ability	impair ability	39	1977
cloud judgement	impair judgement	778	244
cloud judgment	impair judgment	702	376
cloud mind	impair mind	534	30
cloud vision	impair vision	335	424
cloud thinking	impair thinking	114	48
cloud perception	impair perception	85	43
cloud understanding	impair understanding	70	27
color judgement	affect judgement	12	301
color decision	affect decision	36	3236
color choice	affect choice	10	1555
color perception	affect perception	145	1279
color experience	affect experience	77	1222
color interpretation	affect interpretation	38	498
colour judgement	affect judgement	69	301
colour decision	affect decision	32	3236
colour choice	affect choice	22	1555
colour perception	affect perception	135	1279
colour experience	affect experience	55	1222
colour interpretation	affect interpretation	29	498
deflate economy	reduce economy	71	181
deflate cost	reduce cost	12	51650
deflate price	reduce price	63	6766
deflate value	reduce value	58	4430
deflate supply	reduce supply	12	1784
deflate wage	reduce wage	23	1130
deflate market	reduce market	15	199
deflate currency	reduce currency	24	26
devour book	read book	587	104728
devour article	read article	22	55121
devour story	read story	23	17990
devour page	read page	37	10667
devour novel	read novel	77	8517
devour information	read information	58	6787
devour chapter	read chapter	21	6345
devour news	read news	15	4480
digest information	comprehend information	496	124
digest meaning	comprehend meaning	18	352
digest material	comprehend material	192	113
digest fact	comprehend fact	83	139
digest text	comprehend text	21	217
digest concept	comprehend concept	30	190
digest idea	comprehend idea	60	172
digest word	comprehend word	52	174
digest content	comprehend content	154	49
digest situation	comprehend situation	12	115
digest message	comprehend message	49	87
disown past	reject past	17	67
disown idea	reject idea	14	7519
disown policy	reject policy	9	567
disown responsibility	reject responsibility	37	125
drop price	reduce price	2439	6766
drop cost	reduce cost	218	51650
drop rate	reduce rate	817	15826
drop temperature	reduce temperature	357	2077
drown trouble	forget trouble	9	268
drown pain	forget pain	29	414
drown problem	forget problem	16	423
drown feeling	forget feeling	16	373
dull appetite	decrease appetite	21	240
dull pain	decrease pain	315	384
dull sense	decrease sense	316	54
dull noise	decrease noise	11	72
dull feeling	decrease feeling	23	58
find excuse	make excuse	2374	9643
find way	make way	149262	42972
find connection	make connection	3155	29720
float idea	suggest idea	1798	3386
float theory	suggest theory	108	383
float concept	suggest concept	48	316
flood market	saturate market	2989	1167
follow profession	practice profession	228	610
follow religion	practice religion	1371	2125
follow activity	practice activity	824	230
follow profession	practise profession	228	266
follow religion	practise religion	1371	537
follow activity	practise activity	824	72
frame question	pose question	1553	18561
frame problem	pose problem	570	12804
frame challenge	pose challenge	97	9544
frame issue	pose issue	1574	945
frame debate	pose debate	1011	17
frame concern	pose concern	49	588
frame argument	pose argument	535	117
frame idea	pose idea	147	120
frame hypothesis	pose hypothesis	102	56
fuel debate	stimulate debate	595	1351
fuel growth	stimulate growth	1929	4940
fuel economy	stimulate economy	733	4359
fuel interest	stimulate interest	437	2354
fuel discussion	stimulate discussion	149	1821
fuel demand	stimulate demand	553	1262
fuel activity	stimulate activity	154	1487
fuel imagination	stimulate imagination	214	775
fuel creativity	stimulate creativity	112	473
fuel conversation	stimulate conversation	57	385
grasp meaning	understand meaning	802	5927
grasp concept	understand concept	2149	9262
grasp issue	understand issue	284	8076
grasp point	understand point	531	6359
grasp problem	understand problem	188	6464
grasp situation	understand situation	220	3935
grasp reason	understand reason	59	4449
grasp language	understand language	87	4220
grasp idea	understand idea	913	2688
grasp risk	understand risk	23	3262
grasp question	understand question	30	3016
juggle job	manage job	353	425
juggle project	manage project	149	7242
juggle work	manage work	389	1291
juggle life	manage life	234	1136
juggle career	manage career	168	578
juggle school	manage school	38	825
kill proposal	cancel proposal	156	24
kill project	cancel project	517	1284
kill bill	cancel bill	1043	59
kill program	cancel program	403	934
kill process	cancel process	813	124
kill agreement	cancel agreement	20	717
kill deal	cancel deal	253	279
leak report	disclose report	330	280
leak information	disclose information	2977	13122
leak document	disclose document	884	603
leak story	disclose story	361	56
mount production	organise production	322	305
mount event	organise event	49	14000
mount campaign	organise campaign	2288	1007
mount conference	organise conference	19	3384
mount exhibition	organise exhibition	765	885
