vo_pair
pay bill / absorb bill
address topic / attack topic
improve service / boost service
improve education / boost education
end marriage / break marriage
instill sense / breathe sense
instill confidence / breathe confidence
instill spirit / breathe spirit
instill love / breathe love
instill passion / breathe passion
cause fear / cast fear
get information / catch information
get result / catch result
get message / catch message
end investigation / close investigation
end season / close season
end operation / close operation
end story / close story
finalise deal / close deal
finalize deal / close deal
finalize case / close case
finalize plan / close plan
affect choice / color choice
reduce cost / deflate cost
read novel / devour novel
read news / devour news
comprehend text / digest text
reject past / disown past
reject policy / disown policy
forget trouble / drown trouble
forget pain / drown pain
forget problem / drown problem
forget feeling / drown feeling
decrease appetite / dull appetite
suggest idea / float idea
pose challenge / frame challenge
stimulate discussion / fuel discussion
stimulate activity / fuel activity
understand risk / grasp risk
manage project / juggle project
manage life / juggle life
manage career / juggle career
manage school / juggle school
cancel proposal / kill proposal
cancel bill / kill bill
organise demonstration / mount demonstration
organise protest / mount protest
organize production / mount production
organize event / mount event
corrupt process / poison process
recall memory / recapture memory
determine result / shape result
determine success / shape success
ruin career / shipwreck career
cause chaos / sow chaos
cause conflict / sow conflict
cause panic / sow panic
cause uncertainty / sow uncertainty
attract worker / suck worker
address challenge / tackle challenge
experience pain / taste pain
