vo_pair
improve situation / boost situation
instill sense / breathe sense
instill confidence / breathe confidence
instill value / breathe value
instill love / breathe love
instill hope / breathe hope
instill idea / breathe idea
cause fear / cast fear
impair mind / cloud mind
impair thinking / cloud thinking
affect judgement / color judgement
affect judgement / colour judgement
affect decision / colour decision
affect choice / colour choice
reduce supply / deflate supply
reduce market / deflate market
reduce currency / deflate currency
read article / devour article
read chapter / devour chapter
read news / devour news
reject policy / disown policy
forget trouble / drown trouble
forget pain / drown pain
forget feeling / drown feeling
decrease appetite / dull appetite
decrease noise / dull noise
decrease feeling / dull feeling
corrupt soul / poison soul
invest fortune / pour fortune
recall memory / recapture memory
recall moment / recapture moment
cause death / sow death
cause violence / sow violence
experience pain / taste pain
