vo_pair
assimilate lesson / absorb lesson
pay interest / absorb interest
pay expense / absorb expense
address issue / attack issue
address challenge / attack challenge
address topic / attack topic
address change / attack change
improve result / boost result
end relationship / break relationship
end marriage / break marriage
instill life / breathe life
instill sense / breathe sense
instill passion / breathe passion
cause doubt / cast doubt
get disease / catch disease
get chance / catch chance
get information / catch information
get call / catch call
impair memory / cloud memory
impair ability / cloud ability
impair judgement / cloud judgement
impair mind / cloud mind
affect decision / color decision
affect choice / color choice
affect choice / colour choice
reduce price / deflate price
reduce currency / deflate currency
read story / devour story
read page / devour page
read novel / devour novel
read news / devour news
comprehend material / digest material
reduce price / drop price
forget trouble / drown trouble
decrease appetite / dull appetite
decrease feeling / dull feeling
make excuse / find excuse
make way / find way
suggest idea / float idea
saturate market / flood market
stimulate conversation / fuel conversation
understand issue / grasp issue
understand reason / grasp reason
manage job / juggle job
manage project / juggle project
cancel proposal / kill proposal
cancel agreement / kill agreement
disclose information / leak information
disclose document / leak document
organise conference / mount conference
organise exhibition / mount exhibition
organise demonstration / mount demonstration
organize production / mount production
organize conference / mount conference
organize demonstration / mount demonstration
organize protest / mount protest
corrupt relationship / poison relationship
invest fortune / pour fortune
sell drug / push drug
recall memory / recapture memory
determine life / shape life
cause chaos / sow chaos
cause panic / sow panic
cause fear / sow fear
cause violence / sow violence
cause uncertainty / sow uncertainty
cause excitement / stir excitement
address question / tackle question
address challenge / tackle challenge
address point / tackle point
address matter / tackle matter
make remark / throw remark
make comment / throw comment
misinterpret fact / twist fact
have smile / wear smile
