met	lit
absorb knowledge	assimilate knowledge
absorb information	assimilate information
absorb idea	assimilate idea
absorb culture	assimilate culture
absorb material	assimilate material
absorb lesson	assimilate lesson
absorb fact	assimilate fact
absorb content	assimilate content
absorb experience	assimilate experience
absorb concept	assimilate concept
absorb thought	assimilate thought
absorb cost	pay cost
absorb fee	pay fee
absorb bill	pay bill
absorb tax	pay tax
absorb debt	pay debt
absorb interest	pay interest
absorb expense	pay expense
abuse alcohol	misuse alcohol
abuse drug	misuse drug
abuse substance	misuse substance
abuse medication	misuse medication
abuse product	misuse product
attack problem	address problem
attack issue	address issue
attack need	address need
attack question	address question
attack challenge	address challenge
attack point	address point
attack situation	address situation
attack topic	address topic
attack change	address change
attack cause	address cause
attack matter	address matter
boost economy	improve economy
boost service	improve service
boost system	improve system
boost situation	improve situation
boost process	improve process
boost education	improve education
boost work	improve work
boost business	improve business
boost result	improve result
boost number	improve number
break agreement	end agreement
break cycle	end cycle
break relationship	end relationship
break contract	end contract
break marriage	end marriage
break process	end process
break pattern	end pattern
breathe life	instill life
breathe sense	instill sense
breathe confidence	instill confidence
breathe value	instill value
breathe spirit	instill spirit
breathe love	instill love
breathe hope	instill hope
breathe idea	instill idea
breathe passion	instill passion
buy story	believe story
buy word	believe word
buy lie	believe lie
cast doubt	cause doubt
cast issue	cause issue
cast fear	cause fear
catch disease	get disease
catch idea	get idea
catch chance	get chance
catch information	get information
catch result	get result
catch message	get message
catch point	get point
catch call	get call
catch problem	get problem
catch opportunity	get opportunity
close investigation	end investigation
close season	end season
close deal	end deal
close case	end case
close debate	end debate
close operation	end operation
close story	end story
close deal	finalise deal
close case	finalise case
close plan	finalise plan
close arrangement	finalise arrangement
close agreement	finalise agreement
close project	finalise project
close deal	finalize deal
close case	finalize case
close plan	finalize plan
close arrangement	finalize arrangement
close agreement	finalize agreement
close project	finalize project
cloud memory	impair memory
cloud ability	impair ability
cloud judgement	impair judgement
cloud judgment	impair judgment
cloud mind	impair mind
cloud vision	impair vision
cloud thinking	impair thinking
cloud perception	impair perception
cloud understanding	impair understanding
color judgement	affect judgement
color decision	affect decision
color choice	affect choice
color perception	affect perception
color experience	affect experience
color interpretation	affect interpretation
colour judgement	affect judgement
colour decision	affect decision
colour choice	affect choice
colour perception	affect perception
colour experience	affect experience
colour interpretation	affect interpretation
deflate economy	reduce economy
deflate cost	reduce cost
deflate price	reduce price
deflate value	reduce value
deflate supply	reduce supply
deflate wage	reduce wage
deflate market	reduce market
deflate currency	reduce currency
devour book	read book
devour article	read article
devour story	read story
devour page	read page
devour novel	read novel
devour information	read information
devour chapter	read chapter
devour news	read news
