vo_pair
pay fee / absorb fee
pay bill / absorb bill
pay tax / absorb tax
pay expense / absorb expense
misuse substance / abuse substance
misuse medication / abuse medication
address need / attack need
address topic / attack topic
address matter / attack matter
improve situation / boost situation
improve education / boost education
improve work / boost work
instill sense / breathe sense
instill hope / breathe hope
instill idea / breathe idea
get chance / catch chance
get information / catch information
get opportunity / catch opportunity
finalize deal / close deal
finalize case / close case
finalize plan / close plan
affect judgement / color judgement
affect decision / color decision
affect judgement / colour judgement
affect interpretation / colour interpretation
reduce wage / deflate wage
read page / devour page
read news / devour news
comprehend meaning / digest meaning
comprehend text / digest text
comprehend idea / digest idea
reject past / disown past
reject idea / disown idea
reject responsibility / disown responsibility
decrease feeling / dull feeling
suggest concept / float concept
saturate market / flood market
practice religion / follow religion
pose challenge / frame challenge
pose concern / frame concern
understand language / grasp language
understand risk / grasp risk
manage project / juggle project
manage career / juggle career
manage school / juggle school
cancel agreement / kill agreement
disclose document / leak document
organise production / mount production
organise conference / mount conference
organise protest / mount protest
organize production / mount production
corrupt process / poison process
recall memory / recapture memory
recall experience / recapture experience
ruin career / shipwreck career
cause conflict / sow conflict
cause uncertainty / sow uncertainty
attract talent / suck talent
