vo_pair
misuse medication / abuse medication
address challenge / attack challenge
address situation / attack situation
improve situation / boost situation
end relationship / break relationship
instill value / breathe value
instill idea / breathe idea
believe story / buy story
believe word / buy word
believe lie / buy lie
cause doubt / cast doubt
finalise arrangement / close arrangement
impair memory / cloud memory
impair judgement / cloud judgement
impair judgment / cloud judgment
impair vision / cloud vision
affect judgement / color judgement
affect judgement / colour judgement
affect decision / colour decision
affect choice / colour choice
affect interpretation / colour interpretation
reduce supply / deflate supply
read book / devour book
read article / devour article
read story / devour story
read page / devour page
read chapter / devour chapter
comprehend information / digest information
comprehend meaning / digest meaning
comprehend situation / digest situation
reduce price / drop price
decrease pain / dull pain
decrease noise / dull noise
decrease feeling / dull feeling
suggest theory / float theory
saturate market / flood market
practice profession / follow profession
practice religion / follow religion
practise profession / follow profession
pose question / frame question
understand meaning / grasp meaning
understand issue / grasp issue
understand point / grasp point
understand problem / grasp problem
understand situation / grasp situation
understand reason / grasp reason
disclose document / leak document
corrupt mind / poison mind
corrupt relationship / poison relationship
invest money / pour money
invest fortune / pour fortune
sell drug / push drug
recall feeling / recapture feeling
determine outcome / shape outcome
determine strategy / shape strategy
cause violence / sow violence
attract talent / suck talent
misinterpret situation / twist situation
misinterpret information / twist information
