Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
nwords,-0.7812467565622805,1.7601439368736553e-22,1.1727954017068277e-22,Significant (higher in literal) but small effect
Admiration/Awe_GALC,0.09560244800922382,0.2635458305624888,0.9078286050434192,Not significant
Amusement_GALC,0.010847353908651778,0.8978890618714083,0.4038801105351899,Not significant
Anger_GALC,0.028586083780296603,0.7240688726053223,0.44093933371909444,Not significant
Anxiety_GALC,-0.07809255818770441,0.321475972357884,0.014838244366298013,Significant (higher in literal) but small effect
Beingtouched_GALC,-0.07225505681743832,0.39721129138284816,0.2776247350645784,Not significant
Boredom_GALC,0.013542994129688127,0.8695483911973668,0.02353040875956026,Significant (higher in metaphorical) but small effect
Compassion_GALC,-0.09984088413688126,0.23365112252137918,0.0029470118117925037,Significant (higher in literal) but small effect
Contempt_GALC,0.17557881989840834,0.036322911550090355,0.6776092445118229,Not significant
Contentment_GALC,-0.23885874802427043,0.003961599527248341,0.0002428642244655991,Significant (higher in literal) but small effect
Desperation_GALC,0.04935931870819603,0.5651918426303655,0.3537421031078609,Not significant
Disappointment_GALC,0.0795752555035015,0.3294853243476179,0.7766006484060362,Not significant
Disgust_GALC,0.0619959207039774,0.4563245785156519,0.17072559958348876,Not significant
Dissatisfaction_GALC,-0.006578677765238124,0.9378342228013785,0.0009456613676159087,Significant (higher in literal) but small effect
Envy_GALC,0.02511125804983954,0.7635329290344836,0.020983451773016158,Significant (higher in metaphorical) but small effect
Fear_GALC,0.23588679102819507,0.00304385742026946,0.019988990870477497,Significant (higher in metaphorical) but small effect
Feelinglove_GALC,0.2081548497465564,0.009436105018676604,0.4897800084225118,Not significant
Gratitude_GALC,-0.01317056619239005,0.8754735470403381,0.0034853465514528307,Significant (higher in literal) but small effect
Guilt_GALC,0.13029403088601377,0.11902881864827679,0.7942922147789865,Not significant
Happiness_GALC,0.15444809824628147,0.051197711962712354,0.32205901273253323,Not significant
Hatred_GALC,0.20616220083660267,0.012178889355918461,0.048840264605045015,Significant (higher in metaphorical) but small effect
Hope_GALC,0.015333855116643952,0.8538936990159154,0.7018585274675544,Not significant
Humility_GALC,0.06683912100675914,0.4203520824189295,0.007774905956341194,Significant (higher in metaphorical) but small effect
Interest/Enthusiasm_GALC,0.2295878421752231,0.0022905319194496607,0.04975733384827449,Significant (higher in metaphorical) but small effect
