vo_pair
pay bill / absorb bill
address matter / attack matter
improve system / boost system
instill life / breathe life
instill value / breathe value
instill idea / breathe idea
instill passion / breathe passion
believe word / buy word
believe lie / buy lie
cause fear / cast fear
finalise agreement / close agreement
finalise project / close project
finalize deal / close deal
finalize case / close case
impair memory / cloud memory
impair judgement / cloud judgement
impair judgment / cloud judgment
impair mind / cloud mind
impair vision / cloud vision
impair thinking / cloud thinking
affect judgement / color judgement
affect decision / color decision
affect judgement / colour judgement
affect interpretation / colour interpretation
reduce cost / deflate cost
reduce supply / deflate supply
reduce wage / deflate wage
reduce market / deflate market
reduce currency / deflate currency
read article / devour article
read novel / devour novel
read information / devour information
read chapter / devour chapter
comprehend concept / digest concept
comprehend situation / digest situation
forget trouble / drown trouble
forget feeling / drown feeling
decrease appetite / dull appetite
decrease noise / dull noise
decrease feeling / dull feeling
suggest theory / float theory
practice profession / follow profession
practice religion / follow religion
pose concern / frame concern
pose hypothesis / frame hypothesis
stimulate creativity / fuel creativity
understand meaning / grasp meaning
understand point / grasp point
understand reason / grasp reason
understand language / grasp language
understand idea / grasp idea
understand risk / grasp risk
manage school / juggle school
cancel process / kill process
invest fortune / pour fortune
recall feeling / recapture feeling
cause conflict / sow conflict
cause violence / sow violence
misinterpret situation / twist situation
