vo_pair,mean_abs_diff,lemma_ttr,lexical_density_tokens,content_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_binary_all_sent,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_binary_noun_sent,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_binary_argument_sent,adjacent_overlap_binary_2_argument_sent,adjacent_overlap_cw_para,adjacent_overlap_cw_para_div_seg,adjacent_overlap_2_cw_para,adjacent_overlap_2_cw_para_div_seg,adjacent_overlap_verb_para_div_seg,adjacent_overlap_binary_verb_para,adjacent_overlap_2_verb_para,adjacent_overlap_2_verb_para_div_seg,adjacent_overlap_binary_2_verb_para,adjacent_overlap_binary_2_adj_para,adjacent_overlap_adv_para,adjacent_overlap_adv_para_div_seg,adjacent_overlap_binary_adv_para,adjacent_overlap_2_adv_para,adjacent_overlap_2_adv_para_div_seg,adjacent_overlap_binary_2_adv_para,adjacent_overlap_pronoun_para,adjacent_overlap_pronoun_para_div_seg,adjacent_overlap_binary_pronoun_para,adjacent_overlap_2_pronoun_para,adjacent_overlap_2_pronoun_para_div_seg,adjacent_overlap_binary_2_pronoun_para,adjacent_overlap_argument_para,adjacent_overlap_argument_para_div_seg,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,disjunctions,lexical_subordinators,reason_and_purpose,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,all_negative,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas,lexical_density_types,function_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_verb_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_all_para,adjacent_overlap_all_para_div_seg,adjacent_overlap_2_all_para,adjacent_overlap_2_all_para_div_seg,adjacent_overlap_fw_para_div_seg,adjacent_overlap_binary_fw_para,adjacent_overlap_2_fw_para_div_seg,adjacent_overlap_2_noun_para,adjacent_overlap_verb_para,adjacent_overlap_2_adj_para,adjacent_overlap_2_adj_para_div_seg,lsa_2_all_para,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,basic_connectives,conjunctions,addition,positive_causal,opposition,negative_logical,all_temporal,positive_intentional,all_positive,all_connective,lemma_mattr,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_fw_sent,adjacent_overlap_fw_para,adjacent_overlap_2_fw_para,adjacent_overlap_noun_para_div_seg,adjacent_overlap_2_noun_para_div_seg,lsa_1_all_sent,lsa_1_all_para,coordinating_conjuncts,all_causal,determiners,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_noun_para,adjacent_overlap_adj_para,adjacent_overlap_adj_para_div_seg,adjacent_overlap_binary_adj_para,adjacent_overlap_2_argument_para_div_seg,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,sentence_linking,order,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_2_noun_sent_div_seg,lsa_2_all_sent,adjacent_overlap_binary_noun_para,adjacent_overlap_binary_argument_para,adjacent_overlap_2_argument_sent,adjacent_overlap_binary_cw_para,adjacent_overlap_2_argument_para,adjacent_overlap_binary_all_para,adjacent_overlap_binary_2_fw_para,adjacent_overlap_binary_2_noun_para,adjacent_overlap_binary_2_argument_para,adjacent_overlap_binary_2_cw_para,adjacent_overlap_binary_2_all_para
assimilate idea / absorb idea,0.5148885066585063,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assimilate material / absorb material,0.5370643052164079,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,,,,,,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,higher in metaphorical,,,,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,higher in metaphorical,,,,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assimilate lesson / absorb lesson,0.6452790578176844,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,,,,,,higher in literal,,,,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assimilate fact / absorb fact,0.6371740791161637,higher in literal,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in literal,,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in literal,higher in literal,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,,,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,
assimilate content / absorb content,0.9237371508819662,higher in literal,,higher in literal,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,,,,,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,,,,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in metaphorical,,,,higher in literal,higher in metaphorical,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,,,higher in literal,,,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,,,,,,
assimilate experience / absorb experience,0.5020328251097006,,,,higher in metaphorical,,higher in literal,,,,,,higher in literal,higher in literal,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,higher in literal,,higher in literal,,,,higher in literal,,higher in literal,,higher in literal,,,,,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,higher in literal,,higher in literal,,,,higher in metaphorical,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in metaphorical,higher in literal,higher in literal,,,,,,,,,,,,higher in literal,,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,,,,,,,,,
assimilate concept / absorb concept,0.7157627617782919,,,,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,,,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,,,,higher in literal,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,
assimilate thought / absorb thought,0.5942073020407844,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,higher in metaphorical,,,,,higher in literal,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in literal,,,,,higher in literal,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,,,higher in literal,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,,higher in literal,higher in literal,,,,,,,,,,,,,higher in metaphorical,,,,higher in literal,,,,,,,,,
pay fee / absorb fee,0.8316650232615553,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in metaphorical,,,,,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,,higher in metaphorical,,,,,,,,,,,
pay bill / absorb bill,1.5394194307908344,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,
