vo_pair,mean_abs_diff,basic_nfunction_types,lexical_density_tokens,log_ttr_aw,log_ttr_cw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_fw,msttr50_fw,hdd42_fw,mtld_original_fw,mtld_ma_bi_fw,mtld_ma_wrap_cw,mtld_ma_wrap_fw,basic_ntypes,basic_ncontent_types,lexical_density_types,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_fw,mattr50_aw,msttr50_aw,msttr50_cw,hdd42_aw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_wrap_aw,mattr50_cw,mtld_ma_bi_cw,basic_ntokens,basic_ncontent_tokens,basic_nfunction_tokens,hdd42_cw
assimilate information / absorb information,0.5231554648119957,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,,,,,,,,,,,,,,,,,,,,,,
assimilate material / absorb material,0.5933634931211741,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in metaphorical,,,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,
assimilate lesson / absorb lesson,1.1891727533065242,higher in metaphorical,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,
assimilate content / absorb content,0.9132581186967692,higher in metaphorical,higher in metaphorical,,,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,
assimilate concept / absorb concept,0.5963530590793195,,,,,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,,,,,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,,
assimilate thought / absorb thought,0.6381124824242567,,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,,,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,,,
pay cost / absorb cost,0.5793763851143376,higher in literal,,,,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,
pay fee / absorb fee,1.3906490376926441,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
pay bill / absorb bill,2.108094163865195,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
pay tax / absorb tax,1.6446159891561032,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal
