vo_pair
pay bill / absorb bill
instill passion / breathe passion
get disease / catch disease
affect choice / color choice
reduce cost / deflate cost
read story / devour story
read page / devour page
comprehend meaning / digest meaning
comprehend situation / digest situation
reject past / disown past
forget problem / drown problem
practice religion / follow religion
stimulate discussion / fuel discussion
cancel agreement / kill agreement
organise protest / mount protest
organize production / mount production
ruin career / shipwreck career
cause conflict / sow conflict
cause uncertainty / sow uncertainty
attract worker / suck worker
address challenge / tackle challenge
